title,Links,Average_score,number_of_comments,Feedback
ПиКей,http://www.world-art.ru/cinema/cinema.php?id=61375,0,0,
Район №9,http://www.world-art.ru/cinema/cinema.php?id=22487,0,0,
Братец медвежонок,http://www.world-art.ru/cinema/cinema.php?id=462,0,0,
Спеши любить,http://www.world-art.ru/cinema/cinema.php?id=15211,0,0,
Мальчик-оборотень,http://www.world-art.ru/cinema/cinema.php?id=47334,0,0,
На игле,http://www.world-art.ru/cinema/cinema.php?id=6794,0,0,
Тень,http://www.world-art.ru/cinema/cinema.php?id=79887,0,0,
Никто не узнает,http://www.world-art.ru/cinema/cinema.php?id=3038,0,0,
Тот самый Мюнхгаузен,http://www.world-art.ru/cinema/cinema.php?id=19084,0,0,
Девушки-камикадзе,http://www.world-art.ru/cinema/cinema.php?id=14190,0,0,
Республика ШКИД,http://www.world-art.ru/cinema/cinema.php?id=11631,0,0,
Беглец,http://www.world-art.ru/cinema/cinema.php?id=22816,0,0,
Полёт Драконов,http://www.world-art.ru/cinema/cinema.php?id=25897,0,0,
Семь,http://www.world-art.ru/cinema/cinema.php?id=5409,0,0,
Лис и пёс,http://www.world-art.ru/cinema/cinema.php?id=30723,0,0,
Что гложет Гилберта Грейпа?,http://www.world-art.ru/cinema/cinema.php?id=5439,0,0,
Васаби,http://www.world-art.ru/cinema/cinema.php?id=9190,0,0,
Плезантвиль,http://www.world-art.ru/cinema/cinema.php?id=7669,0,0,
Последняя четверть луны,http://www.world-art.ru/cinema/cinema.php?id=15888,0,0,
Касабланка,http://www.world-art.ru/cinema/cinema.php?id=310,0,0,
Терминатор,http://www.world-art.ru/cinema/cinema.php?id=5092,0,0,
Воспоминания об убийстве,http://www.world-art.ru/cinema/cinema.php?id=27196,0,0,
Баллада о солдате,http://www.world-art.ru/cinema/cinema.php?id=3586,0,0,
Девушка на мосту,http://www.world-art.ru/cinema/cinema.php?id=19448,0,0,
"Папочка, возьми мои ножки",http://www.world-art.ru/cinema/cinema.php?id=21252,0,0,
Сонатина,http://www.world-art.ru/cinema/cinema.php?id=4049,0,0,
